Date,Open,High,Low,Price,Volume,Change %
1/19/2024,"41,293.80","42,164.60","40,305.40","41,648.00",72.64,0.86%
1/18/2024,"42,763.50","42,908.00","40,682.60","41,292.70",70.35,-3.45%
1/17/2024,"43,139.10","43,192.30","42,211.80","42,768.70",50.44,-0.87%
1/16/2024,"42,515.20","43,563.70","42,093.10","43,145.50",63.93,1.49%
1/15/2024,"41,747.60","43,348.90","41,719.20","42,510.70",52.08,1.83%
1/14/2024,"42,851.30","43,069.40","41,739.60","41,746.10",37.14,-2.58%
1/13/2024,"42,836.70","43,248.60","42,443.30","42,851.30",48.18,0.04%
1/12/2024,"46,348.10","46,503.20","41,857.90","42,835.90",136.92,-7.58%
1/11/2024,"46,629.30","48,923.70","45,651.80","46,348.20",131.04,-0.60%
1/10/2024,"46,112.00","47,654.30","44,403.60","46,629.30",131.48,1.08%
1/9/2024,"46,959.20","47,880.10","45,333.90","46,129.00",100.09,-1.77%
1/8/2024,"43,934.20","47,196.70","43,251.00","46,962.20",103.09,6.91%
1/7/2024,"43,973.50","44,481.20","43,627.90","43,927.30",29.53,-0.09%
1/6/2024,"44,156.60","44,203.20","43,424.00","43,967.90",24.26,-0.43%
1/5/2024,"44,163.00","44,312.10","42,629.00","44,156.90",68.07,0.00%
1/4/2024,"42,836.10","44,744.50","42,632.80","44,157.00",68.05,3.08%
1/3/2024,"44,943.70","45,492.70","40,888.30","42,836.10",117.65,-4.69%
1/2/2024,"44,182.90","45,885.40","44,166.00","44,943.70",97.84,1.72%
1/1/2024,"42,272.50","44,187.00","42,196.70","44,183.40",36.30,4.52%
12/31/2023,"42,141.60","42,878.80","41,971.40","42,272.50",35.58,0.32%
12/30/2023,"42,074.70","42,592.20","41,527.30","42,136.70",35.18,0.15%
12/29/2023,"42,581.10","43,108.00","41,459.00","42,072.40",60.98,-1.19%
12/28/2023,"43,446.50","43,782.60","42,309.30","42,581.10",49.84,-1.99%
12/27/2023,"42,514.30","43,676.70","42,115.30","43,446.50",50.10,2.20%
12/26/2023,"43,579.90","43,594.90","41,796.60","42,513.30",56.03,-2.44%
12/25/2023,"42,982.00","43,792.70","42,745.30","43,578.50",32.67,1.39%
12/24/2023,"43,710.40","43,935.70","42,748.50","42,981.50",30.86,-1.67%
12/23/2023,"43,968.90","43,994.60","43,325.70","43,710.40",21.29,-0.59%
12/22/2023,"43,865.90","44,394.60","43,419.30","43,968.90",44.50,0.23%
12/21/2023,"43,660.30","44,241.80","43,310.20","43,865.90",48.96,0.47%
12/20/2023,"42,259.50","44,278.70","42,217.20","43,662.80",70.19,3.32%
12/19/2023,"42,659.70","43,473.30","41,842.70","42,259.30",55.29,-0.94%
12/18/2023,"41,369.10","42,728.00","40,554.00","42,659.70",61.58,3.12%
12/17/2023,"42,271.70","42,413.20","41,276.90","41,368.70",35.46,-2.14%
12/16/2023,"41,929.00","42,690.30","41,698.20","42,271.70",30.11,0.82%
12/15/2023,"43,025.20","43,080.70","41,697.90","41,929.00",45.28,-2.55%
12/14/2023,"42,886.30","43,392.70","41,591.20","43,025.90",59.15,0.33%
12/13/2023,"41,487.00","43,417.50","40,649.30","42,884.50",63.11,3.37%
12/12/2023,"41,256.10","42,070.90","40,691.50","41,487.00",57.04,0.56%
12/11/2023,"43,791.00","43,806.30","40,277.10","41,256.10",105.19,-5.79%
12/10/2023,"43,716.60","44,045.40","43,576.80","43,791.00",23.81,0.17%
12/9/2023,"44,175.50","44,361.20","43,617.40","43,718.40",31.67,-1.03%
12/8/2023,"43,288.30","44,697.60","43,108.40","44,175.50",58.44,2.05%
12/7/2023,"43,774.40","44,046.40","42,860.50","43,289.70",63.09,-1.11%
12/6/2023,"44,076.20","44,283.70","43,466.70","43,776.30",72.52,-0.68%
12/5/2023,"41,989.60","44,424.10","41,424.90","44,076.20",96.84,4.97%
12/4/2023,"39,968.60","42,394.40","39,968.60","41,987.80",104.21,5.05%
12/3/2023,"39,456.80","40,178.90","39,280.30","39,970.20",35.27,1.30%
12/2/2023,"38,688.20","39,673.40","38,646.50","39,458.40",37.09,1.99%
12/1/2023,"37,712.90","38,950.80","37,618.30","38,688.20",62.50,2.59%
11/30/2023,"37,857.60","38,144.40","37,509.20","37,712.90",33.53,-0.38%
11/29/2023,"37,823.30","38,362.90","37,607.60","37,855.50",49.34,0.09%
11/28/2023,"37,244.30","38,379.40","36,881.10","37,823.30",57.50,1.54%
11/27/2023,"37,451.80","37,563.30","36,751.50","37,248.60",45.24,-0.54%
11/26/2023,"37,786.40","37,819.10","37,166.30","37,451.80",29.20,-0.89%
11/25/2023,"37,718.60","37,887.40","37,599.90","37,787.00",16.09,0.18%
11/24/2023,"37,295.00","38,400.80","37,257.40","37,717.30",65.83,1.14%
11/23/2023,"37,410.80","37,642.50","36,915.30","37,293.10",32.35,-0.31%
11/22/2023,"35,797.50","37,862.50","35,695.60","37,410.80",64.81,4.46%
11/21/2023,"37,452.70","37,631.20","35,799.20","35,813.60",71.07,-4.38%
