Date,Open,High,Low,Price,Volume,Change %
3/19/2022,41768,42386,41529.6,42233,224.59M,1.11%
3/18/2022,40914.6,42308.4,40234.8,41767.8,2.31B,2.08%
3/17/2022,41118.7,41406,40557.8,40914.8,1.90B,-0.50%
3/16/2022,39282.5,41701.6,38953.2,41118.7,4.47B,4.67%
3/15/2022,39673,39854.7,38220.9,39285.7,2.25B,-0.97%
3/14/2022,37789.5,39914.3,37613.6,39671.1,2.33B,4.97%
3/13/2022,38813.2,39272.3,37603.4,37792.4,1.55B,-2.63%
3/12/2022,38730.2,39355.3,38666.5,38814.3,1.11B,0.22%
3/11/2022,39422.5,40177,38236.4,38730.2,2.79B,-1.74%
3/10/2022,41933.9,42029.1,38603.5,39416.3,3.62B,-5.99%
3/9/2022,38731.5,42538.5,38663.3,41929,3.60B,8.22%
3/8/2022,38020.6,39351.5,37886.6,38744.8,2.67B,1.89%
3/7/2022,38420.6,39532,37182.1,38024.8,3.02B,-0.99%
3/6/2022,39396.3,39668.1,38115,38403.1,1.93B,-2.52%
3/5/2022,39142.8,39600.2,38626.1,39395.8,1.50B,0.65%
3/4/2022,42463,42848.7,38594.9,39142.7,3.21B,-7.82%
3/3/2022,43912.8,44077.2,41840.8,42463,74.11K,-3.30%
3/2/2022,44420.3,45294.2,43361.3,43912.8,80.82K,-1.14%
3/1/2022,43187.2,44900.5,42876.6,44420.3,90.67K,2.85%
2/28/2022,37707.2,43977.8,37458.9,43188.2,108.07K,14.59%
2/27/2022,39116.6,39838.5,37062.3,37689.1,66.14K,-3.65%
2/26/2022,39221.6,40094.5,38639.1,39115.5,41.55K,-0.24%
2/25/2022,38339.2,39683.7,38042.6,39209.6,83.78K,2.27%
2/24/2022,37250.2,39351.6,34357.4,38339.2,180.47K,2.99%
2/23/2022,38248.2,39194.5,37099.5,37224.6,64.84K,-2.68%
2/22/2022,37018.3,38414.9,36399.6,38248.2,82.75K,3.32%
2/21/2022,38355,39444.1,36868.9,37017.7,91.82K,-3.49%
2/20/2022,40089.6,40120.3,38042.2,38355,47.92K,-4.33%
2/19/2022,40000.1,40434.3,39666.6,40090.3,25.78K,0.23%
